time	                CAC40
29/03/1990 02:00	1947.63
30/03/1990 02:00	1971.79
02/04/1990 02:00	1947.18
03/04/1990 02:00	1985.55
04/04/1990 02:00	2001.49
05/04/1990 02:00	2028.06
06/04/1990 02:00	2069.89
09/04/1990 02:00	2083.9
10/04/1990 02:00	2075.38
11/04/1990 02:00	2103.1
12/04/1990 02:00	2116.66
17/04/1990 02:00	2126.34
18/04/1990 02:00	2097.53
19/04/1990 02:00	2097.12
20/04/1990 02:00	2129.32
23/04/1990 02:00	2089.77
24/04/1990 02:00	2101.4
25/04/1990 02:00	2109.59
26/04/1990 02:00	2072.16
27/04/1990 02:00	2066.27
30/04/1990 02:00	2046.46
02/05/1990 02:00	2067.21
03/05/1990 02:00	2098.95
04/05/1990 02:00	2102.64
07/05/1990 02:00	2121
09/05/1990 02:00	2103.69
10/05/1990 02:00	2104.56
11/05/1990 02:00	2091.85
14/05/1990 02:00	2090.14
15/05/1990 02:00	2070.67
16/05/1990 02:00	2071.53
17/05/1990 02:00	2103.94
18/05/1990 02:00	2100.17
21/05/1990 02:00	2092.21
22/05/1990 02:00	2115
23/05/1990 02:00	2123.34
25/05/1990 02:00	2116.87
28/05/1990 02:00	2114.39
29/05/1990 02:00	2123.09
30/05/1990 02:00	2120.8
31/05/1990 02:00	2107.51
01/06/1990 02:00	2087.6
05/06/1990 02:00	2069.43
06/06/1990 02:00	2045.43
07/06/1990 02:00	2050.45
08/06/1990 02:00	2021.41
11/06/1990 02:00	2002.38
12/06/1990 02:00	2005.82
13/06/1990 02:00	2026.42
14/06/1990 02:00	2028.32
15/06/1990 02:00	2011.87
18/06/1990 02:00	1988.33
19/06/1990 02:00	1998.22
20/06/1990 02:00	2003.66
21/06/1990 02:00	2007.98
22/06/1990 02:00	2031.73
25/06/1990 02:00	2040.08
26/06/1990 02:00	2053.4
27/06/1990 02:00	2036.96
28/06/1990 02:00	2038.41
29/06/1990 02:00	2035.03
02/07/1990 02:00	2029.54
03/07/1990 02:00	2031.98
04/07/1990 02:00	2015.93
05/07/1990 02:00	1999.98
06/07/1990 02:00	2001.9
09/07/1990 02:00	1990.17
10/07/1990 02:00	1963.02
11/07/1990 02:00	1970.58
12/07/1990 02:00	1975.18
13/07/1990 02:00	1998.34
16/07/1990 02:00	2015.59
17/07/1990 02:00	2016.34
18/07/1990 02:00	2029.6
19/07/1990 02:00	2023.31
20/07/1990 02:00	2030.6
23/07/1990 02:00	1990.04
24/07/1990 02:00	1995.61
25/07/1990 02:00	1998.6
26/07/1990 02:00	1984.37
27/07/1990 02:00	1961.88
30/07/1990 02:00	1955.35
31/07/1990 02:00	1965.57
01/08/1990 02:00	1960.07
02/08/1990 02:00	1918.45
03/08/1990 02:00	1869.45
06/08/1990 02:00	1773.79
07/08/1990 02:00	1811.84
08/08/1990 02:00	1757.09
09/08/1990 02:00	1779.86
10/08/1990 02:00	1775.03
13/08/1990 02:00	1721.01
14/08/1990 02:00	1712.03
16/08/1990 02:00	1723.41
17/08/1990 02:00	1665
20/08/1990 02:00	1611.92
21/08/1990 02:00	1546.51
22/08/1990 02:00	1586.27
23/08/1990 02:00	1553.35
24/08/1990 02:00	1617.42
27/08/1990 02:00	1699.72
28/08/1990 02:00	1680.58
29/08/1990 02:00	1698.66
30/08/1990 02:00	1723.23
31/08/1990 02:00	1690
03/09/1990 02:00	1644.01
04/09/1990 02:00	1620.93
05/09/1990 02:00	1638.32
06/09/1990 02:00	1609.51
07/09/1990 02:00	1619.6
10/09/1990 02:00	1661.76
11/09/1990 02:00	1653.94
12/09/1990 02:00	1648.09
13/09/1990 02:00	1646.27
14/09/1990 02:00	1614.93
17/09/1990 02:00	1604.02
18/09/1990 02:00	1579.93
19/09/1990 02:00	1570.28
20/09/1990 02:00	1540.6
21/09/1990 02:00	1543.53
24/09/1990 02:00	1502.52
25/09/1990 02:00	1485.39
26/09/1990 02:00	1499.17
27/09/1990 02:00	1523.95
28/09/1990 02:00	1491.75
01/10/1990 01:00	1540.81
02/10/1990 01:00	1572.94
03/10/1990 01:00	1567.48
04/10/1990 01:00	1552.74
05/10/1990 01:00	1551.63
08/10/1990 01:00	1586.16
09/10/1990 01:00	1551.46
10/10/1990 01:00	1540.12
11/10/1990 01:00	1541.76
12/10/1990 01:00	1575.7
15/10/1990 01:00	1598.91
16/10/1990 01:00	1601.92
17/10/1990 01:00	1616
18/10/1990 01:00	1647.67
19/10/1990 01:00	1644.7
22/10/1990 01:00	1639.35
23/10/1990 01:00	1676.17
24/10/1990 01:00	1667.24
25/10/1990 01:00	1645.99
26/10/1990 01:00	1618.58
29/10/1990 01:00	1627.9
30/10/1990 01:00	1613.59
31/10/1990 01:00	1609.6
02/11/1990 01:00	1634.8
05/11/1990 01:00	1620.57
06/11/1990 01:00	1613.49
07/11/1990 01:00	1583.46
08/11/1990 01:00	1569.86
09/11/1990 01:00	1572.83
12/11/1990 01:00	1597.34
13/11/1990 01:00	1610.13
14/11/1990 01:00	1599.13
15/11/1990 01:00	1598.02
16/11/1990 01:00	1612.1
19/11/1990 01:00	1633.65
20/11/1990 01:00	1633.15
21/11/1990 01:00	1626.97
22/11/1990 01:00	1639.68
23/11/1990 01:00	1640.06
26/11/1990 01:00	1607.24
27/11/1990 01:00	1605.92
28/11/1990 01:00	1601.25
29/11/1990 01:00	1607.06
30/11/1990 01:00	1605.12
03/12/1990 01:00	1644.87
04/12/1990 01:00	1646.53
05/12/1990 01:00	1660.44
06/12/1990 01:00	1693.52
07/12/1990 01:00	1690.71
10/12/1990 01:00	1675.01
11/12/1990 01:00	1665.54
12/12/1990 01:00	1667.85
13/12/1990 01:00	1659.4
14/12/1990 01:00	1635.52
17/12/1990 01:00	1606.23
18/12/1990 01:00	1591.65
19/12/1990 01:00	1589.32
20/12/1990 01:00	1552.72
21/12/1990 01:00	1563.97
26/12/1990 01:00	1536.89
27/12/1990 01:00	1528.9
28/12/1990 01:00	1517.93
02/01/1991 01:00	1505.1
03/01/1991 01:00	1539.5
04/01/1991 01:00	1547.66
07/01/1991 01:00	1507.87
08/01/1991 01:00	1502.77
09/01/1991 01:00	1552.19
10/01/1991 01:00	1507.09
11/01/1991 01:00	1494.94
14/01/1991 01:00	1441.17
15/01/1991 01:00	1457.27
16/01/1991 01:00	1455.41
17/01/1991 01:00	1560
18/01/1991 01:00	1559.56
